sequence_idx,frame_idx,true,predicted,dataset,source
0,0,Gmin,Gmin,AAM,midi
0,1,Gmin,Gmin,AAM,midi
0,2,Gmin,Gmin,AAM,midi
0,3,Gmin,Gmin,AAM,midi
0,4,Gmin,Gmin,AAM,midi
0,5,Gmin,Gmin,AAM,midi
0,6,Gmin,Gmin,AAM,midi
0,7,Gmin,Gmin,AAM,midi
0,8,Gmin,Gmin,AAM,midi
0,9,Gmin,Gmin,AAM,midi
0,10,Gmin,Gmin,AAM,midi
0,11,Gmin,Gmin,AAM,midi
0,12,Gmin,Gmin,AAM,midi
0,13,Gmin,Gmin,AAM,midi
0,14,Gmin,Gmin,AAM,midi
0,15,Gmin,Gmin,AAM,midi
0,16,Gmin,Gmin,AAM,midi
0,17,Gmin,Gmin,AAM,midi
0,18,Gmin,Gmin,AAM,midi
0,19,Gmin,Gmin,AAM,midi
0,20,Gmin,Gmin,AAM,midi
0,21,Gmin,Gmin,AAM,midi
1,0,Amaj,Amaj,AAM,midi
1,1,Amaj,Amaj,AAM,midi
1,2,Amaj,Amaj,AAM,midi
1,3,Amaj,C#min,AAM,midi
1,4,Amaj,Amaj,AAM,midi
1,5,Amaj,Amaj,AAM,midi
1,6,Amaj,Amaj,AAM,midi
1,7,Amaj,Amaj,AAM,midi
1,8,Amaj,Amaj,AAM,midi
1,9,Amaj,Amaj,AAM,midi
1,10,Amaj,Amaj,AAM,midi
1,11,Amaj,Amaj,AAM,midi
1,12,Amaj,Amaj,AAM,midi
1,13,Amaj,Amaj,AAM,midi
1,14,Amaj,Amaj,AAM,midi
1,15,Amaj,Amaj,AAM,midi
1,16,Amaj,Amaj,AAM,midi
1,17,Amaj,Amaj,AAM,midi
1,18,Amaj,Amaj,AAM,midi
1,19,Amaj,Amaj,AAM,midi
1,20,Amaj,Fmaj,AAM,midi
1,21,Amaj,Dmaj,AAM,midi
2,0,Gmaj,Gmaj,AAM,midi
2,1,Gmaj,Gmaj,AAM,midi
2,2,Gmaj,Gmaj,AAM,midi
2,3,Gmaj,Gmaj,AAM,midi
2,4,Gmaj,Gmaj,AAM,midi
2,5,Gmaj,Gmaj,AAM,midi
2,6,Gmaj,Gmaj,AAM,midi
2,7,Gmaj,Gmaj,AAM,midi
2,8,Gmaj,Gmaj,AAM,midi
2,9,Gmaj,Gmaj,AAM,midi
2,10,Gmaj,Gmaj,AAM,midi
2,11,Gmaj,Gmaj,AAM,midi
2,12,Gmaj,Gmaj,AAM,midi
2,13,Gmaj,Gmaj,AAM,midi
2,14,Gmaj,Gmaj,AAM,midi
2,15,Gmaj,Gmaj,AAM,midi
2,16,Gmaj,Gmaj,AAM,midi
2,17,Bmin,Bmin,AAM,midi
2,18,Bmin,Bmin,AAM,midi
2,19,Bmin,Bmin,AAM,midi
2,20,Bmin,Bmin,AAM,midi
2,21,Bmin,Bmin,AAM,midi
3,0,Dmin,Dmin,AAM,midi
